Step,TrueNoise,ResidualNoise,ReductionRatio
693,0.035811,-0.536923,-1399.30
694,0.039180,-0.524375,-1238.39
695,0.042623,-0.508607,-1093.26
696,0.046009,-0.489225,-963.33
697,0.049318,-0.468117,-849.18
698,0.052581,-0.444309,-745.00
699,0.055824,-0.417707,-648.26
700,0.059007,-0.387674,-557.00
701,0.062107,-0.356515,-474.03
702,0.065128,-0.321776,-394.07
703,0.068084,-0.285461,-319.28
704,0.070993,-0.247817,-249.07
705,0.073830,-0.208395,-182.27
706,0.076542,-0.166265,-117.22
707,0.079175,-0.120875,-52.67
708,0.081646,-0.074610,8.62
709,0.084016,-0.024124,71.29
710,0.086419,0.037782,56.28
711,0.088583,0.145221,-63.94
712,0.090580,0.174280,-92.41
713,0.092372,0.181137,-96.09
714,0.094017,0.186239,-98.09
715,0.095462,0.189296,-98.29
716,0.128024,0.221867,-73.30
717,0.201638,0.293935,-45.77
718,0.242587,0.331756,-36.76
719,0.274606,0.359091,-30.77
720,0.301771,0.379978,-25.92
721,0.325638,0.396181,-21.66
722,0.347098,0.408577,-17.71
723,0.366637,0.417846,-13.97
724,0.384492,0.424182,-10.32
725,0.400964,0.428049,-6.75
726,0.416124,0.429650,-3.25
727,0.429975,0.429285,0.16
728,0.442723,0.427127,3.52
729,0.454528,0.423330,6.86
730,0.465292,0.418202,10.12
731,0.475152,0.316742,33.34
732,0.484029,0.243874,49.62
733,0.492165,0.186827,62.04
734,0.499343,0.136423,72.68
735,0.505874,0.091649,81.88
736,0.511592,0.047558,90.70
737,0.516429,0.006890,98.67
738,0.520476,-0.032017,93.85
739,0.523822,-0.067701,87.08
740,0.526408,-0.101543,80.71
741,0.528250,-0.133284,74.77
742,0.529380,-0.164750,68.88
743,0.529835,-0.192521,63.66
744,0.529670,-0.218960,58.66
745,0.528854,-0.242817,54.09
746,0.527457,-0.262749,50.19
747,0.525363,-0.280254,46.66
748,0.522729,-0.296453,43.29
749,0.519576,-0.309328,40.47
750,0.515846,-0.319758,38.01
751,0.511605,-0.327470,35.99
752,0.506849,-0.333207,34.26
753,0.501534,-0.335801,33.05
754,0.495739,-0.336776,32.07
755,0.489525,-0.334735,31.62
756,0.482917,-0.330874,31.48
757,0.475978,-0.324711,31.78
758,0.468603,-0.316464,32.47
759,0.460870,-0.305979,33.61
760,0.452670,-0.293343,35.20
761,0.444275,-0.278135,37.40
762,0.435448,-0.261060,40.05
763,0.426388,-0.242774,43.06
764,0.417033,-0.222868,46.56
765,0.407450,-0.201942,50.44
766,0.397557,-0.178658,55.06
767,0.387478,-0.154587,60.10
768,0.377027,-0.129020,65.78
769,0.366396,-0.103038,71.88
770,0.355555,-0.075971,78.63
771,0.344461,-0.047295,86.27
772,0.333128,-0.018540,94.43
773,0.321566,0.011090,96.55
774,0.309845,0.041590,86.58
775,0.297772,0.072720,75.58
776,0.285442,0.105633,62.99
777,0.272882,0.138415,49.28
778,0.260089,0.173086,33.45
779,0.246892,0.209895,14.99
780,0.233447,0.251103,-7.56
781,0.219437,0.301413,-37.36
782,0.205039,0.371648,-81.26
783,0.190003,0.473568,-149.24
784,0.174457,0.458862,-163.02
785,0.158215,0.441796,-179.24
786,0.140924,0.421990,-199.45
787,0.122353,0.399325,-226.37
788,0.102239,0.373506,-265.33
789,0.079824,0.343922,-330.85
790,0.053841,0.309318,-474.50
791,0.021477,0.267039,-1143.38
792,-0.029267,0.205164,-601.02
793,-0.075674,0.146532,-93.64
794,-0.074020,0.135020,-82.41
795,-0.072193,0.122780,-70.07
796,-0.070333,0.109838,-56.17
797,-0.068414,0.096354,-40.84
798,-0.066363,0.082533,-24.37
799,-0.064277,0.068368,-6.36
800,-0.062017,0.054182,12.63
801,-0.059853,0.039777,33.54
802,-0.057638,0.025411,55.91
