Step,R,Suppression,EnergyDensity
644,0.000028,0.999972,0.000001
645,0.000041,0.999959,0.000001
646,0.000057,0.999943,0.000002
647,0.000077,0.999923,0.000003
648,0.000103,0.999897,0.000004
649,0.000134,0.999866,0.000005
650,0.000171,0.999829,0.000007
651,0.000217,0.999783,0.000010
652,0.000270,0.999730,0.000013
653,0.000333,0.999667,0.000017
654,0.000405,0.999595,0.000023
655,0.000489,0.999511,0.000029
656,0.000585,0.999415,0.000037
657,0.000695,0.999306,0.000046
658,0.000818,0.999182,0.000058
659,0.000957,0.999043,0.000071
660,0.001113,0.998888,0.000088
661,0.001286,0.998715,0.000107
662,0.001478,0.998523,0.000130
663,0.001690,0.998311,0.000156
664,0.001924,0.998078,0.000187
665,0.002180,0.997823,0.000223
666,0.002459,0.997544,0.000263
667,0.002764,0.997240,0.000310
668,0.003094,0.996910,0.000364
669,0.003452,0.996553,0.000424
670,0.003839,0.996168,0.000493
671,0.004256,0.995754,0.000570
672,0.004703,0.995308,0.000656
673,0.005182,0.994831,0.000753
674,0.005695,0.994321,0.000861
675,0.006243,0.993777,0.000981
676,0.006825,0.993198,0.001113
677,0.007445,0.992583,0.001260
678,0.008102,0.991931,0.001421
679,0.008798,0.991241,0.001598
680,0.009533,0.990512,0.001792
681,0.010309,0.989744,0.002004
682,0.011126,0.988935,0.002234
683,0.011986,0.988085,0.002484
684,0.012889,0.987194,0.002755
685,0.013836,0.986260,0.003048
686,0.014827,0.985283,0.003364
687,0.015863,0.984262,0.003705
688,0.016945,0.983198,0.004070
689,0.018073,0.982089,0.004461
690,0.019248,0.980936,0.004880
691,0.020469,0.979739,0.005327
692,0.021738,0.978496,0.005802
693,0.023055,0.977209,0.006309
694,0.024419,0.975877,0.006844
695,0.025831,0.974500,0.007412
696,0.027290,0.973079,0.008013
697,0.028797,0.971613,0.008648
698,0.030352,0.970104,0.009315
699,0.031954,0.968551,0.010017
700,0.033603,0.966955,0.010754
701,0.035299,0.965317,0.011528
702,0.037041,0.963637,0.012336
703,0.038829,0.961916,0.013184
704,0.040661,0.960154,0.014065
705,0.042539,0.958354,0.014985
706,0.044459,0.956514,0.015941
707,0.046423,0.954638,0.016932
708,0.048429,0.952725,0.017963
709,0.050476,0.950777,0.019026
710,0.052562,0.948795,0.020139
711,0.054687,0.946782,0.021278
712,0.056845,0.944740,0.022447
713,0.059035,0.942674,0.023655
714,0.061250,0.940588,0.024887
715,0.063488,0.938486,0.026152
716,0.065742,0.936372,0.027429
717,0.068008,0.934253,0.028743
718,0.070280,0.932133,0.030068
719,0.072553,0.930017,0.031399
720,0.074819,0.927911,0.032761
721,0.077073,0.925822,0.034106
722,0.079308,0.923755,0.035455
723,0.081517,0.921717,0.036815
724,0.083692,0.919714,0.038144
725,0.085827,0.917753,0.039475
726,0.087914,0.915840,0.040777
727,0.089945,0.913981,0.042047
728,0.091914,0.912184,0.043294
729,0.093812,0.910454,0.044484
730,0.095632,0.908798,0.045651
731,0.097368,0.907222,0.046774
732,0.099011,0.905733,0.047833
733,0.100556,0.904335,0.048820
734,0.101995,0.903034,0.049748
735,0.103323,0.901836,0.050630
736,0.104534,0.900744,0.051427
737,0.104534,0.900744,0.051427
738,0.103540,0.901640,0.050760
739,0.102426,0.902645,0.050034
740,0.101196,0.903756,0.049252
741,0.099855,0.904968,0.048367
742,0.098410,0.906277,0.047423
743,0.096867,0.907677,0.046431
744,0.095231,0.909163,0.045394
745,0.093509,0.910730,0.044286
746,0.091708,0.912371,0.043154
747,0.089836,0.914081,0.041973
748,0.087898,0.915854,0.040757
749,0.085903,0.917683,0.039522
750,0.083857,0.919563,0.038250
751,0.081767,0.921486,0.036955
752,0.079641,0.923448,0.035661
753,0.077485,0.925441,0.034355
754,0.075306,0.927459,0.033037
755,0.073111,0.929498,0.031744
756,0.070906,0.931550,0.030428
757,0.068696,0.933610,0.029136
758,0.066489,0.935673,0.027865
759,0.064288,0.937734,0.026605
760,0.062101,0.939788,0.025359
761,0.059930,0.941830,0.024144
762,0.057782,0.943856,0.022960
763,0.055660,0.945861,0.021795
764,0.053567,0.947842,0.020671
765,0.051509,0.949795,0.019575
766,0.049487,0.951718,0.018513
767,0.047503,0.953608,0.017486
768,0.045557,0.955465,0.016496
769,0.043652,0.957287,0.015535
770,0.041788,0.959073,0.014618
771,0.039965,0.960823,0.013728
772,0.038184,0.962536,0.012875
773,0.036446,0.964210,0.012060
774,0.034752,0.965845,0.011278
775,0.033102,0.967440,0.010530
776,0.031497,0.968994,0.009817
777,0.029936,0.970507,0.009136
778,0.028421,0.971979,0.008488
779,0.026951,0.973409,0.007873
780,0.025527,0.974796,0.007290
781,0.024149,0.976141,0.006737
782,0.022816,0.977442,0.006214
783,0.021529,0.978701,0.005723
784,0.020288,0.979917,0.005259
785,0.019092,0.981089,0.004823
786,0.017941,0.982219,0.004415
787,0.016835,0.983306,0.004032
788,0.015774,0.984350,0.003675
789,0.014757,0.985352,0.003342
790,0.013783,0.986312,0.003032
791,0.012852,0.987230,0.002744
792,0.011964,0.988108,0.002477
793,0.011117,0.988945,0.002231
794,0.010311,0.989742,0.002004
795,0.009545,0.990500,0.001795
796,0.008819,0.991220,0.001604
797,0.008131,0.991902,0.001429
798,0.007481,0.992547,0.001269
799,0.006867,0.993156,0.001123
800,0.006289,0.993730,0.000991
801,0.005746,0.994271,0.000872
802,0.005236,0.994777,0.000764
803,0.004759,0.995252,0.000667
804,0.004313,0.995696,0.000581
805,0.003898,0.996110,0.000503
806,0.003511,0.996495,0.000434
807,0.003153,0.996852,0.000373
808,0.002822,0.997182,0.000319
809,0.002516,0.997487,0.000272
810,0.002235,0.997768,0.000230
811,0.001977,0.998025,0.000194
812,0.001741,0.998260,0.000163
813,0.001527,0.998474,0.000136
814,0.001332,0.998669,0.000112
815,0.001156,0.998845,0.000093
816,0.000998,0.999003,0.000076
817,0.000856,0.999145,0.000061
